student_id,major,age,housing,commute_miles,work_hours_per_week,advisor_meetings,credits_attempted,final_gpa,study_hours_reported,enrollment_date,dropped_out
NU-103973,Data Science,28,with family,7.1,30,1,42,2.36,7.7,10/17/2022,1
NU-108265,Information Technology,22,Off-Campus,6.0,30,4,100,2.83,12.2,03/17/2024,0
NU-101333,Data Science,23,On-Campus,10.4,0,2,68,2.85,11.3,04/16/2024,0
NU-105132,Cybersecurity,32,With Family,21.5,12,2,116,2.57,9.9,12/17/2022,0
NU-103420,Learning Technologies,22,Off-Campus,10.4,20,2,93,2.62,10.4,05/11/2024,1
NU-103995,Information Technology,25,on-campus,2.4,15,0,44,2.49,11.2,11/25/2022,0
NU-105556,Cybersecurity,20,Off-Campus,19.9,30,1,45,2.28,8.2,2022-11-17,1
NU-105333,Cybersecurity,25,Off-Campus,12.6,10,3,42,2.41,10.0,13-Nov-2022,0
NU-109858,Data Science,38,On-Campus,1.8,25,2,66,2.39,,12/19/2022,0
NU-106185,Cybersecurity,23, On-Campus,2.5,30,0,0,0.38,2.4,08/23/2022,1
NU-109868,Learning Technologies,23,With Family,14.6,20,0,24,2.14,9.3,2023-10-02,1
NU-103039,Learning Technologies,25,Off-Campus,18.0,15,2,50,2.41,12.3,2024-05-26,0
NU-104207,Business Analytics,26,Off-Campus,12.5,18,4,39,2.36,15.9,21-May-2024,0
NU-100692,Business Analytics,22,Off-Campus,8.1,18,3,116,2.96,14.9,05-Apr-2024,1
NU-100236,Cyber Security,20,With Family,11.0,28,3,31,2.5,9.0,10/23/2022,0
NU-104686,Cybersecurity,24,Off-Campus,7.9,12,2,59,2.18,,10/13/2023,1
NU-102199,Cybersecurity,25,off campus,12.5,5,1,88,1.8,4.9,30-Apr-2024,0
NU-108993,Information  Science,26,On-Campus,19.6,40,0,105,0.0,,10/12/2022,0
NU-109399,Cybersecurity,25,Off-Campus,37.1,10,0,1,1.68,6.4,12/14/2022,0
NU-102982,Data Science,25,On-Campus,4.6,30,1,73,2.07,9.2,11/02/2023,0
NU-103683,Cybersecurity,23,Off-Campus,18.8,28,0,71,3.11,13.1,03/08/2024,0
NU-107996,Learning Technologies,24,Off-Campus,9.1,15,3,50,3.08,16.7,04/23/2024,0
NU-104935,Cybersecurity,21,Off-Campus,32.9,0,3,77,1.56,,09/18/2022,1
NU-103237,Information Science,21,On-Campus,5.7,5,2,42,2.25,12.9,05-Sep-2023,0
NU-103256,Cybersecurity,21,Off-Campus,7.2,15,3,69,2.75,7.4,11/15/2022,0
NU-103278,Cybersecurity,27,With Family,34.9,30,2,97,1.21,1.6,2022-09-06,0
NU-107315,Data Science,29,On-Campus,21.5,15,2,4,2.41,13.7,11/04/2023,0
NU-103832,Business Analytics,25,Off-Campus,5.2,0,1,6,1.63,6.8,12/01/2023,0
NU-106781,Information  Science,24,Off-Campus,8.8,0,1,27,1.4,4.4,2024-05-10,1
NU-100469,Cybersecurity,28,On-Campus,9.0,25,5,57,2.62,,12/09/2022,0
NU-108828,Cybersecurity,24,Off-campus,26.1,5,3,57,2.61,11.4,2024-04-05,0
NU-103923,Information Technology,25,Off-campus,6.8,18,3,0,2.65,11.9,03-Feb-2024,1
NU-102623,Learning Technologies,27,on-campus,15.1,25,1,25,0.89,,04/03/2024,1
NU-103761,Cybersecurity,21,On-Campus,13.4,12,3,48,2.98,13.8,10/01/2022,0
NU-106610,Cyber Security,27,Off-Campus,6.0,28,4,73,3.02,10.9,12/04/2023,0
NU-103857,Cybersecurity,24,Off-Campus,6.8,35,2,72,2.23,5.8,02/08/2024,0
NU-100679,Information Science,26,With Family,4.0,15,0,51,2.09,14.0,12/04/2022,1
NU-100701,Information Technology,28,Off-Campus,27.1,25,1,2,1.43,7.1,09/19/2022,0
NU-103613,Learning Technologies,25,Off-Campus,18.5,0,1,59,1.92,6.4,2024-02-24,0
NU-101788,Info Technology,23,On-Campus,3.9,25,3,52,2.25,10.8,11/02/2022,0
NU-104491,Data Science,21,With Family,8.7,18,3,105,2.94,17.6,2022-09-22,0
NU-103852,Information Science,27,Off-Campus,3.7,28,5,63,2.01,,06-Nov-2022,0
NU-107301,Information Technology,31,On-Campus,10.1,10,0,54,2.94,10.9,09/30/2022,0
NU-108219,DataScience,24,Off-Campus,5.4,30,3,27,2.02,11.4,02/05/2024,1
NU-109170,Information Technology,25,On-Campus,12.5,25,5,24,1.93,9.7,05/28/2024,0
NU-101744,Information Science,32,On-Campus,22.5,20,2,28,1.42,,12/15/2023,0
NU-103626,Data Science,21,On-Campus,6.1,5,2,46,3.29,14.4,2022-11-06,0
NU-103155,Cybersecurity,26,Off-Campus,16.9,10,1,47,1.81,5.1,10/13/2022,1
NU-100715,Business Analytics,21,On-Campus,32.6,12,2,43,2.28,10.3,13-Dec-2023,0
NU-103786,Business Analytics,27,On-Campus,2.9,15,2,79,1.74,11.4,05/14/2024,0
NU-100739,Cyber Security,22,Off-Campus,47.1,25,3,41,1.47,6.1,03/14/2024,0
NU-101966,Cybersecurity,20,Off-Campus,8.3,40,5,77,2.3,10.4,2024-02-29,0
NU-100466,Cybersecurity,22,Off-Campus,1.7,12,4,35,2.06,,2024-03-07,0
NU-102108,Information Technology,25,on-campus,8.3,18,4,22,3.23,16.4,04-Feb-2024,0
NU-107941,Information Technology,24,on-campus,14.8,0,0,39,2.68,13.8,10/16/2022,0
NU-106758,Cybersecurity,25,With Family,0.9,5,0,81,1.82,4.4,2022-11-22,0
NU-100373,Information Technology,29,Off-Campus,13.0,0,1,65,1.46,9.1,11/13/2022,1
NU-109435,Information Science,23,Off-Campus,13.9,25,3,73,2.12,,02/17/2024,0
NU-104535,Learning Technologies,25,On-Campus,3.1,18,1,7,2.54,11.7,12-May-2024,0
NU-103466,Cybersecurity,23,On-Campus,29.9,15,1,58,1.62,,2022-11-25,0
NU-103520,Cybersecurity,22,Off-Campus,6.4,15,1,54,2.13,9.7,2023-11-14,0
NU-103554,Cybersecurity,25,With Family,9.5,15,1,0,0.0,13.9,01/20/2025,0
NU-103262,Information Science,22,Off-Campus,9.3,30,3,69,2.97,15.2,12/13/2022,1
NU-101022,Cybersecurity,33,On-Campus,15.2,15,3,18,2.91,14.0,2023-11-21,0
NU-109613,Learning Technologies,21,With Family,5.8,15,1,40,2.74,7.9,10/05/2023,0
NU-101558,Cybersecurity,29,On-Campus,19.6,0,2,45,2.01,,2022-12-17,0
NU-108140,Cybersecurity,26,On-Campus,6.0,15,1,66,3.35,10.7,12/06/2022,0
NU-100376,Information Science,26,Off-Campus,4.3,20,3,43,2.8,,2022-11-03,1
NU-106240,Information Technology,21,With Family,10.4,0,4,47,2.45,9.7,09/26/2023,0
NU-103109,Cyber Security,28,Off-Campus,6.7,12,5,55,2.19,8.4,10/13/2022,1
NU-107870,Cybersecurity,23,Off-Campus,27.8,0,5,52,2.58,9.8,09/13/2022,0
NU-106667,Data Science,27,On-Campus,5.0,28,4,73,3.02,10.5,05/26/2024,1
NU-107024,Data Science,24,Off-campus,4.9,20,2,32,2.22,9.3,10/28/2022,0
NU-102227,Data Science,24,Off-Campus,4.3,0,4,31,2.97,10.8,29-Sep-2022,0
NU-100770,Business Analytics,27,With Family,5.3,35,3,30,2.83,11.7,2023-11-23,0
NU-107340,Information Science,22,Off-Campus,29.7,5,0,20,1.18,8.6,12/12/2022,0
NU-109132,Cybersecurity,31,Off-Campus,14.8,18,2,84,2.96,15.0,02/15/2024,0
NU-103502,Information Technology,20,On-Campus,6.0,5,2,44,3.4,16.8,11-Nov-2022,0
NU-105284,Information Science,24,On-Campus,25.7,10,1,86,1.17,8.2,09/30/2022,0
NU-108977,Business Analytics,25,on-campus,7.1,5,3,68,2.71,13.7,10/03/2022,0
NU-109550,Information Science,22,on-campus,4.5,10,5,52,2.91,9.8,14-Oct-2022,1
NU-108544,Cybersecurity,25,On-Campus,6.5,25,4,60,2.99,13.3,01-Dec-2023,0
NU-107602,Information Technology,21,On-Campus,4.2,20,3,67,2.74,13.0,02/03/2024,0
NU-103469,Cybersecurity,26,with family,6.5,25,0,28,2.29,11.3,10/08/2022,0
NU-106717,Learning Technologies,24,Off-Campus,4.9,5,2,34,1.76,7.2,04/10/2024,1
NU-109458,Business Analytics,25,Off-Campus,14.2,5,0,92,2.95,13.6,2023-12-08,0
NU-100113,Information Science,23,Off-Campus,32.2,10,4,57,2.06,6.3,16-Feb-2024,1
NU-106403,Cybersecurity,22,Off-Campus,0.3,20,4,57,2.34,7.5,04/08/2024,0
NU-104157,Data Science,25,Off-Campus,23.8,10,0,2,1.86,,2022-10-09,1
NU-102605,Cybersecurity,22,Off-Campus,0.7,20,3,17,3.08,12.6,09/30/2022,0
NU-102983,Information Science,28,on-campus,4.6,12,1,43,4.0,15.6,2023-12-01,0
NU-101356,Learning Technologies,22,On-Campus,18.6,20,3,37,1.99,11.0,2023-11-08,0
NU-108355,Cybersecurity,23,Off-Campus,1.6,18,2,41,2.13,15.2,23-Feb-2024,1
NU-100575,Cybersecurity,26,With Family,12.4,12,2,74,2.49,10.2,2024-04-05,1
NU-104742,Cybersecurity,23,Off-Campus,29.0,0,2,36,2.69,11.1,05/24/2024,0
NU-103754,Learning Technologies,23,Off-Campus,24.6,30,0,30,1.66,,23-Mar-2024,1
NU-103389,Information Science,26,With Family,2.6,35,3,68,2.24,12.6,12/14/2022,0
NU-108117,Info Technology,23,On-Campus,7.9,15,6,32,2.67,14.7,31-Aug-2023,0
NU-104638,Cybersecurity,25,With Family,7.1,15,3,65,2.73,,30-Sep-2022,0
NU-100565,Cyber Security,21,Off-Campus,18.0,15,1,33,2.54,11.6,2023-09-12,0
NU-108523,Cyber Security,24,With Family,14.4,15,0,65,2.83,12.9,11/24/2022,0
NU-103545,Cybersecurity,23,Off-Campus,18.9,35,3,119,2.42,7.0,2024-02-15,0
NU-103492,Business Analytics,24,On-Campus,8.9,15,4,64,2.53,14.4,12/18/2023,0
NU-101961,Learning Technologies,27,Off-Campus,2.2,12,3,56,2.85,16.1,12/03/2023,0
NU-102518,Learning Technologies,27,with family,3.8,30,2,60,2.7,11.6,24-Sep-2022,0
NU-100899,Info Technology,24,On-Campus,12.1,25,4,48,2.64,13.3,04/29/2024,1
NU-109680,Cybersecurity,27,Off-Campus,11.8,10,5,95,2.99,16.2,09/26/2023,0
NU-104440,Cyber Security,25,Off-Campus,8.5,35,0,34,2.83,16.3,2022-10-23,0
NU-102365,Data Science,24,Off-Campus,6.8,5,3,59,2.77,16.2,12/10/2022,0
NU-106748,Cybersecurity,22,On-Campus,1.9,5,4,22,2.24,6.6,11/24/2022,0
NU-104946,Cybersecurity,30,off campus,3.2,5,2,52,2.68,12.3,24-Sep-2022,1
NU-101490,Learning Technologies,22,With Family,2.1,15,3,50,2.71,8.7,03-Oct-2023,0
NU-100283,Cybersecurity,21,With Family,10.3,12,2,21,2.64,12.1,03/16/2024,0
NU-103471,Data Science,24, On-Campus,3.2,28,3,13,2.02,11.1,19-Dec-2022,0
NU-103232,Cybersecurity,23,Off-Campus,17.3,25,1,28,2.22,6.4,2022-09-02,0
NU-109862,Learning Technologies,25,With Family,11.7,25,1,13,2.18,8.9,12/10/2022,0
NU-104895,Information Technology,24,On-Campus,4.0,15,4,17,2.74,11.9,09/23/2022,0
NU-100529,Data Science,27,With Family,8.8,15,2,27,2.41,9.4,2024-05-18,1
NU-100061,Information Science,24,Off-Campus,2.3,25,4,51,2.6,7.0,28-Mar-2024,1
NU-103888,Information  Science,26,Off-Campus,11.3,30,0,83,2.0,8.8,05/04/2024,0
NU-106452,Learning Technologies,25,Off-Campus,4.9,28,0,88,2.08,4.5,11/26/2022,0
NU-101134,Information Science,28,Off-Campus,6.5,15,1,77,2.29,15.3,2022-09-03,0
NU-103675,Information Technology,24,off campus,26.3,25,1,47,2.84,15.2,10/27/2022,0
NU-102331,Information Technology,21,Off-Campus,14.2,15,5,107,3.35,17.6,09/21/2023,0
NU-107048,Cybersecurity,26,On-Campus,29.7,0,2,0,1.63,,2022-10-14,0
NU-102154,Cyber Security,25,Off-Campus,9.8,5,3,80,1.83,12.1,2024-03-29,0
NU-103191,Information Science,26,with family,9.4,5,3,30,3.76,15.7,03/27/2024,0
NU-101899,Cybersecurity,22,with family,16.1,15,2,71,2.56,10.7,04-Dec-2022,0
NU-101030,Cybersecurity,1,Off-Campus,6.5,20,2,46,1.58,13.6,2022-10-18,0
NU-106711,Information Technology,25,Off-Campus,18.1,25,3,49,1.09,,04/27/2024,0
NU-107337,Business Analytics,25,Off-Campus,15.2,15,1,93,1.48,,09/15/2023,1
NU-108352,Learning Technologies,22,Off-Campus,7.7,10,1,44,3.36,12.6,2024-02-21,0
NU-106920,Cybersecurity,25,Off-campus,7.9,30,2,43,2.42,10.5,10/01/2022,0
NU-104265,Business Analytics,28,Off-Campus,1.5,15,4,93,3.62,18.1,09/25/2022,0
NU-100590,Information Science,29,On-Campus,6.8,10,2,29,2.24,8.0,11/06/2022,1
NU-106874,Cybersecurity,30,Off-Campus,13.2,25,3,64,2.27,10.4,2022-09-08,0
NU-106856,Cybersecurity,20,Off-campus,3.3,25,1,50,1.92,,09/02/2023,0
NU-102862,Information Technology,29,With Family,16.6,15,4,32,1.84,8.4,11/11/2022,1
NU-103677,Business Analytics,23,off campus,10.9,12,5,66,3.39,12.9,09/23/2022,0
NU-109377,Business Analytics,24,Off-Campus,6.8,0,4,22,2.99,14.3,10/30/2022,0
NU-107691,Business Analytics,21,Off-Campus,14.5,35,2,33,1.27,,2024-03-07,1
NU-105439,Information Science,29,With Family,6.2,12,5,0,0.0,14.9,21-Jan-2025,0
NU-105254,Cybersecurity,26,Off-Campus,1.6,25,4,73,2.95,14.6,10/11/2023,0
NU-102564,Learning Technologies,21,Off-Campus,0.2,20,2,48,2.15,10.1,14-Dec-2022,1
NU-101591,Cybersecurity,20,Off-Campus,7.5,15,2,49,3.18,15.2,2024-02-03,0
NU-100922,Learning Technologies,26,Off-campus,17.8,10,1,71,2.95,12.4,2023-09-29,1
NU-105922,Learning Technologies,23,Off-campus,17.8,12,5,80,2.54,7.6,10/11/2023,0
NU-106762,Information Science,23,Off-Campus,18.3,5,3,51,2.73,7.9,02/07/2024,0
NU-101125,Business Analytics,22,off campus,17.1,12,0,60,2.33,8.8,05/13/2024,0
NU-104133,Cybersecurity,20,Off-Campus,5.2,35,1,32,1.29,1.0,11/27/2022,0
NU-105319,Information Science,20,With Family,11.6,30,3,16,1.67,6.1,2023-12-03,0
NU-102974,Learning Technologies,25,Off-Campus,5.5,0,3,63,2.65,8.8,11/06/2022,1
NU-107293,Information Technology,26,With Family,2.7,20,2,53,2.93,14.5,04/23/2024,0
NU-101701,Business Analytics,24,Off-Campus,8.2,20,3,0,2.51,10.3,10/13/2023,0
NU-101090,Information Science,28,On-Campus,14.8,20,2,55,2.55,,09-Dec-2023,0
NU-100659,Learning Technologies,28,Off-Campus,10.5,0,2,59,2.79,15.7,2022-08-27,1
NU-104001,Information Science,24,With Family,21.1,10,2,41,2.26,10.9,02/20/2024,1
NU-105967,Information Technology,22,With Family,36.1,15,0,36,1.42,10.1,04/28/2024,0
NU-103248,Cybersecurity,23,off campus,2.7,15,1,34,2.04,12.2,10/21/2023,0
NU-104318,Information Technology,21,Off-Campus,18.6,25,4,57,1.1,3.3,2022-09-04,0
NU-104511,Business Analytics,26,With Family,23.6,28,1,36,1.61,7.9,09/03/2023,1
NU-107965,Cybersecurity,28,On-Campus,13.2,12,2,62,2.69,11.6,06-Nov-2022,1
NU-100561,Business Analytics,25,On-Campus,6.5,40,2,68,2.69,12.1,11/03/2023,0
NU-101058,Information Technology,34,On-Campus,11.2,28,1,28,2.28,12.1,08/28/2023,0
NU-104193,Data Science,24,Off-campus,17.1,0,0,67,2.25,9.1,22-Sep-2023,0
NU-103550,Cybersecurity,24,off campus,13.7,0,3,59,2.4,13.5,10/11/2022,0
NU-106246,Cybersecurity,25, On-Campus,13.3,15,2,128,2.67,9.8,2024-02-18,0
NU-109306,Cybersecurity,26,With Family,5.5,0,1,71,3.41,18.7,10/29/2023,0
NU-103674,Cybersecurity,28,on-campus,12.0,10,5,51,3.43,16.8,03/13/2024,0
NU-107710,Learning Technologies,21,off campus,26.8,15,2,58,1.3,3.8,2022-09-08,0
NU-106104,Data Science,27,On-Campus,21.6,0,0,30,1.65,7.2,22-Apr-2024,0
NU-105660,Information Technology,25,With Family,26.0,20,2,0,1.2,6.3,12/04/2023,1
NU-107823,Data Science,26,Off-Campus,1.2,35,2,34,1.61,3.2,2022-12-18,1
NU-105485,Information Science,20,Off-Campus,4.7,0,3,42,2.2,,09/30/2022,1
NU-100705,Data Science,29,Off-Campus,15.8,15,2,56,0.0,1.7,2022-10-20,1
NU-104764,Cybersecurity,25,Off-Campus,20.0,30,1,71,1.96,6.4,04/27/2024,0
NU-101186,Cybersecurity,22,with family,29.2,15,6,83,2.34,10.0,2023-08-30,0
NU-100932,Information Technology,26,With Family,16.6,15,2,65,2.31,,2023-12-01,0
NU-101266,Business Analytics,23,On-Campus,0.8,30,2,80,2.45,12.1,2022-10-20,0
NU-103753,Cybersecurity,23,With Family,16.0,5,0,48,1.98,8.9,04/30/2024,0
NU-101297,Cybersecurity,27,Off-Campus,15.3,30,2,50,1.39,7.3,2023-12-07,0
NU-107895,Information Science,28,Off-Campus,5.1,15,1,54,2.07,13.6,2023-10-13,1
NU-106232,Information Technology,30,With Family,30.8,28,1,65,2.64,10.8,14-May-2024,0
NU-103653,Information Technology,26,off campus,8.4,15,3,65,1.83,9.3,2022-09-20,0
NU-104873,Cybersecurity,22,Off-Campus,6.5,5,5,73,2.34,8.2,12/14/2022,1
NU-101753,Cybersecurity,24,Off-campus,3.2,18,2,19,3.43,14.2,26-Sep-2022,0
NU-109950,Cybersecurity,27,On-Campus,31.1,15,4,51,2.1,11.3,11/19/2023,0
NU-101142,Cyber Security,24,Off-campus,1.4,20,1,55,2.5,14.2,10/25/2023,0
NU-102585,Cybersecurity,23,off campus,14.0,20,1,39,1.21,3.8,10/12/2023,1
NU-103551,Business Analytics,19,with family,20.7,0,5,70,2.89,12.0,2022-08-27,0
NU-106229,Information Technology,22,Off-Campus,15.7,5,3,63,1.72,11.2,2024-05-03,1
NU-108410,Cybersecurity,23,On-Campus,15.5,10,4,90,3.07,,2022-11-14,0
NU-106962,Information Technology,24,On-Campus,5.2,10,1,40,2.14,10.8,02-Sep-2022,0
NU-102037,Business Analytics,22,Off-Campus,10.1,12,5,74,3.31,12.3,02/01/2024,0
NU-103374,DataScience,25,With Family,8.0,10,1,24,3.12,16.8,03/31/2024,0
NU-109685,Information Technology,24,On-Campus,1.1,10,3,70,2.53,,11/04/2022,0
NU-101702,Cyber Security,23,Off-Campus,6.9,5,0,6,2.83,17.0,09/25/2022,0
NU-106648,Cybersecurity,20, On-Campus,9.5,15,1,50,3.17,18.0,02/25/2024,0
NU-101041,Cybersecurity,33,On-Campus,12.0,25,4,71,1.76,10.6,02/19/2024,0
NU-106585,Cybersecurity,25,With Family,2.2,25,1,77,2.28,,03-Sep-2022,0
NU-100798,Cybersecurity,25,With Family,4.1,10,3,41,1.66,2.5,2024-04-27,0
NU-102223,Cyber Security,28,With Family,13.3,18,3,30,2.44,,2023-08-24,0
NU-103386,Learning Technologies,26,Off-Campus,13.8,0,3,0,2.11,12.2,09/24/2022,0
NU-109956,Information Science,24,Off-Campus,4.8,10,3,70,3.74,17.4,2024-02-21,1
NU-100073,Business Analytics,26,Off-campus,22.2,28,0,59,0.0,5.3,09/10/2022,0
NU-108813,Cybersecurity,26,Off-Campus,16.2,5,2,31,1.76,6.6,2024-04-18,1
NU-101735,Information Technology,23,Off-Campus,7.0,15,1,60,2.85,9.2,2022-11-26,0
NU-103260,Information Science,23,off campus,5.1,40,1,117,2.8,9.3,05/23/2024,0
NU-105911,Data Science,32,On-Campus,3.6,18,6,72,3.04,18.9,10/08/2022,0
NU-105982,Cybersecurity,22,With Family,2.3,30,4,37,2.12,10.8,11/25/2022,0
NU-107206,Cybersecurity,27,On-Campus,4.2,20,1,80,2.94,11.8,10/29/2022,0
NU-107276,Cyber Security,31,On-Campus,16.7,10,3,43,2.64,10.3,2024-02-14,0
NU-107124,Cybersecurity,28, On-Campus,2.3,5,3,0,2.74,10.1,11/08/2023,0
NU-107847,Data Science,26, On-Campus,18.9,30,3,76,1.01,1.9,10/20/2022,1
NU-108048,Information Technology,32,Off-Campus,8.4,12,0,89,1.95,,08-Oct-2022,0
NU-104196,Business Analytics,26,Off-Campus,0.5,12,1,91,3.18,10.2,2022-10-08,0
NU-101925,Business Analytics,36,With Family,0.5,18,1,27,2.37,10.9,10/26/2022,0
NU-109874,Information Technology,27,With Family,13.9,12,3,47,2.1,11.6,11/26/2022,0
NU-105898,Cybersecurity,20,Off-Campus,8.2,20,2,41,2.06,7.7,10/09/2023,1
NU-101175,Cybersecurity,19,Off-Campus,11.2,15,1,5,3.52,17.5,06-Dec-2022,0
NU-103812,Business Analytics,24,Off-Campus,25.1,0,1,17,2.17,10.5,11/08/2022,0
NU-108816,Learning Technologies,27,On-Campus,9.1,35,1,54,0.0,3.3,07-Dec-2022,1
NU-103290,Business Analytics,25,On-Campus,13.1,12,4,16,2.95,12.3,2023-11-12,0
NU-106789,Information Science,24,With Family,21.4,28,2,78,1.28,6.4,2022-08-27,0
NU-107473,Information Science,25,Off-Campus,15.9,10,0,75,3.0,14.8,01-Oct-2023,0
NU-107692,Cybersecurity,22,On-Campus,1.5,0,4,67,2.65,13.2,12/15/2022,0
NU-109434,Information Science,24,Off-Campus,12.8,15,4,32,3.2,18.7,12/20/2022,0
NU-104593,Cyber Security,32,off campus,27.0,20,2,0,0.0,10.2,2025-01-18,0
NU-100663,Business Analytics,26,Off-Campus,43.7,12,2,94,2.18,6.6,12/02/2022,0
NU-103299,Cybersecurity,27,Off-Campus,5.9,35,2,63,1.58,7.7,2024-05-02,1
NU-106620,Information Technology,27,On-Campus,10.2,15,1,68,2.32,8.7,2024-02-23,0
NU-109892,Information Technology,23,Off-Campus,0.6,40,2,48,3.25,14.5,11/28/2022,0
NU-100198,Cybersecurity,24,Off-Campus,13.3,18,1,48,3.4,11.4,09/23/2022,0
NU-105258,Information Science,29,With Family,5.7,35,8,93,2.76,8.4,2022-11-18,0
NU-103694,Cybersecurity,24,Off-Campus,6.2,15,2,65,3.21,15.6,23-Sep-2023,0
NU-103064,Information Science,26,Off-Campus,19.8,20,4,63,2.51,12.1,05/15/2024,0
NU-106924,Cybersecurity,25,off campus,23.9,5,3,23,3.17,15.4,03/22/2024,1
NU-109442,Information Technology,33,Off-Campus,10.1,0,2,54,2.65,11.2,2024-02-05,0
NU-101449,Data Science,28,off campus,3.8,35,0,33,0.47,3.5,02-Oct-2022,0
NU-105679,Information Science,25,On-Campus,5.6,15,5,63,2.56,9.7,19-Nov-2022,0
NU-100050,Business Analytics,22,On-Campus,2.5,28,6,48,2.75,10.7,04/30/2024,1
NU-100989,Information Technology,29,Off-Campus,20.4,20,1,10,1.52,7.0,10/01/2022,1
NU-109841,Data Science,22,On-Campus,6.4,25,2,59,1.92,,2024-05-01,0
NU-105944,DataScience,29,off campus,1.6,28,2,57,2.58,12.4,2022-12-14,0
NU-107320,Data Science,22,With Family,4.2,12,1,112,2.64,11.0,09/03/2023,0
NU-102080,Business Analytics,23,On-Campus,15.2,10,1,40,1.88,10.2,2022-09-09,1
NU-100292,DataScience,23,Off-Campus,16.5,15,2,48,1.92,2.0,10/06/2022,0
NU-107462,Information Science,26,Off-campus,24.3,20,1,24,2.21,8.4,08/30/2022,0
NU-101900,Info Technology,24,Off-Campus,4.9,25,2,79,2.49,10.9,09/20/2022,1
NU-103998,Cybersecurity,22,Off-Campus,21.4,15,6,77,1.93,9.4,05/12/2024,0
NU-103952,Cybersecurity,19,Off-Campus,3.6,18,3,53,2.49,9.6,10/02/2022,0
NU-107617,Business Analytics,19,Off-Campus,21.3,25,2,33,2.35,8.4,11/25/2022,0
NU-103316,Information Science,24,on-campus,12.1,10,3,85,2.62,9.3,2023-09-06,0
NU-107907,Data Science,26,Off-Campus,5.2,25,3,8,2.22,6.6,15-Oct-2023,1
NU-106835,Information Science,24,With Family,18.0,12,3,68,1.88,6.8,2022-12-11,1
NU-104436,Learning Technologies,27,Off-Campus,8.9,15,2,35,2.61,9.2,2023-10-07,0
NU-102113,Information Science,19,With Family,4.5,18,2,0,1.87,7.5,02/04/2024,0
NU-101618,Information Technology,27,On-Campus,4.4,25,1,23,2.64,8.7,09/08/2022,1
NU-107862,Business Analytics,26,Off-Campus,27.4,30,3,27,1.67,8.3,12/05/2022,0
NU-105748,Cybersecurity,28,On-Campus,35.9,0,2,93,1.21,2.5,11/10/2022,1
NU-104768,Information Science,23,On-Campus,7.1,25,0,32,2.28,7.2,11/10/2023,0
NU-106605,Business Analytics,24,On-Campus,10.6,18,1,114,2.45,7.9,11/21/2023,1
NU-102291,Business Analytics,24,Off-Campus,3.5,20,3,85,2.43,11.3,12/20/2022,0
NU-108036,Information Technology,35,Off-Campus,3.4,0,4,52,3.22,17.2,04/18/2024,0
NU-109786,Learning Technologies,25,On-Campus,16.2,30,1,72,2.16,10.9,27-Feb-2024,1
NU-100436,Cybersecurity,30,Off-Campus,11.6,10,2,103,2.37,13.6,2023-11-05,0
NU-105336,Cybersecurity,25,Off-Campus,19.8,35,0,40,2.03,5.2,09/17/2023,1
NU-108935,Information Science,23,Off-Campus,20.7,10,0,10,1.86,,28-Aug-2023,1
NU-103151,Information Science,21,Off-Campus,11.0,30,3,52,2.56,14.7,22-Feb-2024,0
NU-108487,Cybersecurity,31,On-Campus,11.6,5,1,62,3.0,18.4,23-Feb-2024,0
NU-106558,Information Science,25,Off-Campus,16.3,30,2,55,2.46,15.3,09/24/2022,1
NU-101642,Information Science,24,Off-Campus,34.2,20,2,90,1.42,10.5,02/19/2024,0
NU-109902,Learning Technologies,21,With Family,19.1,25,3,107,0.0,3.5,2024-03-31,0
NU-104373,Information Science,23,with family,15.3,5,0,26,1.22,1.9,14-Nov-2022,1
NU-102410,Learning Technologies,30,Off-Campus,13.3,28,0,35,2.08,,05/28/2024,1
NU-108094,Learning Technologies,26,On-Campus,13.1,40,2,55,3.23,10.9,08/26/2022,0
NU-106238,Information Technology,22,With Family,22.8,0,5,96,1.62,11.2,2024-03-27,0
NU-105466,Cybersecurity,22,On-Campus,15.0,-8,0,40,1.46,,11/03/2023,0
NU-107267,Information Technology,30,With Family,41.7,12,2,80,1.7,8.5,04/10/2024,1
NU-105562,Information Science,34,with family,7.0,20,3,90,2.8,11.4,03/17/2024,0
NU-101456,Information  Science,24,Off-Campus,13.8,12,3,75,2.65,12.6,02/13/2024,0
NU-101667,Cybersecurity,23,On-Campus,3.6,0,2,14,1.51,,05-May-2024,0
NU-105186,DataScience,22,off campus,8.2,20,1,41,3.16,12.8,2023-11-22,1
NU-102841,Information Technology,23,On-Campus,39.6,15,3,65,2.62,15.2,11/12/2023,0
NU-103662,Business Analytics,23,Off-campus,9.0,20,1,95,2.11,,10/01/2022,0
NU-101013,Information Science,24,With Family,5.8,15,4,22,3.09,17.1,02/11/2024,0
NU-108065,Information Science,33,Off-Campus,11.9,25,3,65,2.56,10.0,12/01/2022,0
NU-101610,Cyber Security,21,with family,9.8,15,4,87,1.93,6.1,02/12/2024,0
NU-107089,Information Science,28,Off-Campus,24.6,5,2,66,1.95,9.6,2022-10-19,0
NU-103345,Learning Technologies,24,off campus,12.0,12,1,72,2.91,12.2,23-Aug-2022,0
NU-103267,Information Science,23, On-Campus,28.8,25,2,66,2.75,11.9,02/15/2024,0
NU-100754,Information Science,23,On-Campus,15.6,30,3,61,1.76,10.6,11/22/2022,1
NU-100020,Information Technology,24,off campus,16.7,15,1,31,0.6,4.4,09/19/2023,1
